Team,Seed,Region,Player1_Name,Player1_Pos,Player1_Age,Player2_Name,Player2_Pos,Player2_Age,Player3_Name,Player3_Pos,Player3_Age,Player4_Name,Player4_Pos,Player4_Age,Player5_Name,Player5_Pos,Player5_Age,Avg_Team_Age
Arizona,1,West,Jaden Bradley,G,22,Brayden Burries,G,20,Ivan Kharchenkov,G,19,Koa Peat,F,19,Motiejus Krivas,C,21,20.2
LIU,16,West,Greg Gordon,G,24,Malachi Davis,G,23,Jamal Fuller,G,24,Mason Porter-Brown,F,22,Shadrak Lasu,F,19,22.4
Villanova,8,West,Acaden Lewis,G,20,Tyler Perkins,G,21,Zion Stanford,F,21,Matthew Hodge,F,21,Duke Brennan,C,23,21.2
Utah State,9,West,Drake Allen,G,24,MJ Collins Jr.,G,23,Mason Falslev,G,21,Adlan Elamin,F,19,Zach Keller,C,23,22.0
Wisconsin,5,West,Nick Boyd,G,24,Andrew Rohde,G,22,John Blackwell,G,21,Austin Rapp,F,20,Aleksas Bieliauskas,F,20,21.4
High Point,12,West,Rob Martin,G,21,Chase Johnston,G,26,Scotty Washington,G,24,Terry Anderson,F,24,Cam'Ron Fletcher,F,24,23.8
Arkansas,4,West,Darius Acuff Jr.,G,19,Meleek Thomas,G,19,Billy Richmond III,F,19,Trevon Brazile,F,23,Nick Pringle,C,24,20.8
Hawai'i,13,West,Hunter Erickson,G,25,Quandre Bullock,G,24,Gytis Nemeiksa,F,24,Harry Rouhliadeff,F,23,Isaac Johnson,C,24,24.0
BYU,6,West,Rob Wright III,G,20,Kennard Davis Jr.,G,20,AJ Dybantsa,F,19,Mihailo Boskovic,F,23,Keba Keita,C,22,20.8
Texas,11,West,Jordan Pope,G,22,Tramon Mark,G,24,Camden Heide,G,22,Dailyn Swain,F,20,Matas Vokietaitis,C,21,21.8
NC State,11,West,Tre Holloman,G,22,Quadir Copeland,G,23,Paul McNeil Jr.,G,19,Darrion Williams,F,22,Ven-Allen Lubin,F,22,21.6
Gonzaga,3,West,Mario Saint-Supery,G,19,Adam Miller,G,24,Jalen Warley,G,23,Emmanuel Innocenti,F,21,Graham Ike,F,23,22.0
Kennesaw State,14,West,RJ Johnson,G,21,Jaden Harris,G,23,Trey Simpson,F,19,Frankquon Sherman,F,20,Braedan Lue,F,19,20.4
Miami FL,7,West,Tre Donaldson,G,22,Tru Washington,G,21,Shelton Henderson,F,19,Malik Reneau,F,22,Ernest Udeh Jr.,C,22,21.2
Missouri,10,West,Anthony Robinson II,G,21,Sebastian Mack,G,21,Mark Mitchell,F,22,Jayden Stone,F,24,Jevon Porter,C,22,22.0
Purdue,2,West,Braden Smith,G,22,Fletcher Loyer,G,22,C.J. Cox,G,21,Trey Kaufman-Renn,F,23,Oscar Cluff,C,24,22.4
Queens,15,West,Chris Ashby,G,24,Yoav Berman,G,21,Nasir Mann,G,22,Carson Schwieger,F,25,Avantae Parker,F,21,22.6
Michigan,1,Midwest,Elliott Cadeau,G,21,Nimari Burnett,G,24,Roddy Gayle Jr.,G,22,Yaxel Lendeborg,F,23,Morez Johnson Jr.,F,20,22.0
UMBC,16,Midwest,Jah'Likai King,G,23,DJ Armstrong Jr.,G,24,Ace Valentine,G,22,Devin Ceaser,G,22,Jose Roberto Tanchyn,F,21,22.4
Howard,16,Midwest,Cam Gillus,G,21,Bryce Harris,G,23,Alex Cotton,G,21,Ose Okojie,G,22,Danas Kazakevicius,C,20,21.4
Georgia,8,Midwest,Smurf Millender,G,21,Blue Cain,G,21,Jeremiah Wilkinson,G,19,Kanon Catchings,F,20,Somto Cyril,C,20,20.2
Saint Louis,9,Midwest,Trey Green,G,22,Amari McCottry,G,20,Dion Brown,G,23,Quentin Jones,F,21,Robbie Avila,C,22,21.6
Texas Tech,5,Midwest,Christian Anderson,G,19,Donovan Atwell,G,23,Tyeree Bryan,G,23,LeJuan Watts,F,22,Luke Bamgboye,F,21,21.6
Akron,12,Midwest,Tavari Johnson,G,22,Shammah Scott,G,23,Bowen Hardman,G,22,Evan Mahaffey,F,22,Amani Lyles,F,22,22.2
Alabama,4,Midwest,Labaron Philon Jr.,G,20,Aden Holloway,G,21,Amari Allen,F,20,London Jemison,F,19,Aiden Sherrell,C,21,20.2
Hofstra,13,Midwest,Preston Edmead,G,19,Cruz Davis,G,22,German Plotnikov,F,25,Victory Onuetu,F,22,Silas Sunday,F,23,22.2
Tennessee,6,Midwest,Ja'Kobi Gillespie,G,22,Amaree Abram,G,21,Nate Ament,F,19,Jaylen Carey,F,20,Felix Okpara,C,21,20.6
Miami OH,11,Midwest,Luke Skaljac,G,21,Peter Suder,G,22,Eian Elmer,G,20,Brant Byers,F,20,Antwone Woolfolk,F,22,21.0
SMU,11,Midwest,Boopie Miller,G,22,B.J. Edwards,G,23,Jaron Pierre Jr.,G,23,Corey Washington,F,22,Sam Walters,F,21,22.2
Virginia,3,Midwest,Malik Thomas,G,24,Dallin Hall,G,23,Sam Lewis,G,21,Thijs De Ridder,F,23,Johann Grunloh,F,22,22.6
Wright State,14,Midwest,TJ Burch,G,20,Solomon Callaghan,G,21,Dominic Pangonis,G,20,Michael Imariagbe,F,24,Kellen Pickett,F,19,20.8
Kentucky,7,Midwest,Jaland Lowe,G,21,Otega Oweh,G,22,Denzel Aberdeen,G,22,Collin Chandler,G,22,Malachi Moreno,C,19,21.2
Santa Clara,10,Midwest,Brenton Knapper,G,23,Christian Hammond,G,20,Elijah Mahi,F,22,Jake Ensminger,F,22,Bukky Oboye,C,20,21.4
Iowa State,2,Midwest,Tamin Lipsey,G,22,Jamarion Batemon,G,19,Milan Momcilovic,F,21,Joshua Jefferson,F,22,Blake Buchanan,C,22,21.2
Tennessee State,15,Midwest,Dante Harris,G,24,Travis Harper II,G,23,Aaron Nkrumah,G,24,Antoine Lorick III,F,21,Jalen Pitre,F,22,22.8
Florida,1,South,Boogie Fland,G,19,Xaivian Lee,G,22,Thomas Haugh,F,22,Alex Condon,F,21,Reuben Chinyelu,C,22,21.2
Prairie View A&M,16,South,Lance Williams,G,22,Dontae Horne,G,22,Tai'Reon Joseph,G,25,Cory Wells,F,24,Joey Madimba,F,24,23.4
Lehigh,16,South,Nasir Whitlock,G,21,Edouard Benoit,G,20,Jalen Vazquez,G,22,Joshua Ingram,F,21,Hank Alvey,F,19,20.6
Clemson,8,South,Dillon Hunter,G,22,Jestin Porter,G,24,RJ Godfrey,F,23,Jake Wahlin,F,22,Nick Davidson,C,24,23.0
Iowa,9,South,Kael Combs,G,21,Bennett Stirtz,G,22,Cooper Koch,F,20,Cam Manyawu,F,20,Tavion Banks,F,22,21.0
Vanderbilt,5,South,Tyler Tanner,G,20,Duke Miles,G,24,Tyler Nickel,F,22,AK Okereke,F,22,Devin McGlockton,F,24,22.4
McNeese,12,South,Tyshawn Archie,G,21,DJ Richards Jr.,G,22,Javohn Garcia,G,25,Larry Johnson,G,19,Jerrell Colbert,C,23,22.0
Nebraska,4,South,Jamarques Lawrence,G,22,Sam Hoiberg,G,22,Pryce Sandfort,F,21,Berke Buyuktuncel,F,21,Rienk Mast,C,24,22.0
Troy,13,South,Cooper Campbell,G,20,Cobi Campbell,G,22,Victor Valdes,F,21,Thomas Dowd,F,21,Jerrell Bellamy,C,23,21.4
North Carolina,6,South,Kyan Evans,G,21,Seth Trimble,G,21,Jonathan Powell,F,20,Jarin Stevenson,F,20,Henri Veesaar,C,21,20.6
VCU,11,South,Nyk Lewis,G,19,Brandon Jennings,G,20,Jadrian Tracey,F,24,Barry Evans,F,23,Lazar Djokovic,C,21,21.4
Illinois,3,South,Kylan Boswell,G,20,Keaton Wagler,G,18,Jake Davis,F,21,David Mirkovic,F,20,Tomislav Ivisic,C,22,20.2
Penn,14,South,AJ Levine,G,20,Cam Thrower,G,23,Michael Zanoni,G,23,TJ Power,F,21,Augustus Gerhart,F,21,21.6
Saint Mary's,7,South,Joshua Dent,G,20,Mikey Lewis,G,20,Tony Duckett,G,20,Paulius Murauskas,F,22,Harry Wessels,C,23,21.0
Texas A&M,10,South,Jacari Lane,G,22,Marcus Hill,G,24,Rylan Griffen,G,23,Ruben Dominguez,G,23,Rashaun Agee,F,25,23.4
Houston,2,South,Milos Uzan,G,23,Kingston Flemings,G,19,Emanuel Sharp,G,22,Joseph Tugler,F,20,Chris Cenac Jr.,C,19,20.6
Idaho,15,South,Kolton Mitchell,G,21,Biko Johnson,G,23,Isaiah Brickner,G,23,Jackson Rasmussen,F,19,Brody Rowbury,F,23,21.8
