Team,Seed,Region,Player1_Name,Player1_Pos,Player1_Height,Player2_Name,Player2_Pos,Player2_Height,Player3_Name,Player3_Pos,Player3_Height,Player4_Name,Player4_Pos,Player4_Height,Player5_Name,Player5_Pos,Player5_Height,Avg_G_Height_Inches,Avg_F_Height_Inches,Avg_C_Height_Inches,Num_G,Num_F,Num_C
Arkansas,4,West,Darius Acuff Jr.,G,6-4,Meleek Thomas,G,6-5,Billy Richmond III,F,6-6,Trevon Brazile,F,6-10,Nick Pringle,C,6-10,76.5,80.0,82.0,2,2,1
Hawai'i,13,West,Hunter Erickson,G,6-3,Quandre Bullock,G,6-6,Gytis Nemeiksa,F,6-8,Harry Rouhliadeff,F,6-9,Isaac Johnson,C,7-0,76.5,80.5,84.0,2,2,1
BYU,6,West,Rob Wright III,G,6-1,Kennard Davis Jr.,G,6-6,AJ Dybantsa,F,6-9,Mihailo Boskovic,F,6-10,Keba Keita,C,6-7,75.5,81.5,79.0,2,2,1
Texas,11,West,Jordan Pope,G,6-6,Tramon Mark,G,6-5,Camden Heide,G,6-4,Dailyn Swain,F,6-8,Matas Vokietaitis,C,6-9,77.0,80.0,81.0,3,1,1
NC State,11,West,Tre Holloman,G,6-2,Quadir Copeland,G,6-6,Paul McNeil Jr.,G,6-5,Darrion Williams,F,6-6,Ven-Allen Lubin,F,6-8,76.33,79.0,,3,2,0
Gonzaga,3,West,Mario Saint-Supery,G,6-4,Adam Miller,G,6-3,Jalen Warley,G,6-7,Emmanuel Innocenti,F,6-5,Graham Ike,F,6-9,76.67,79.0,,3,2,0
Kennesaw State,14,West,RJ Johnson,G,6-4,Jaden Harris,G,6-2,Trey Simpson,F,6-7,Frankquon Sherman,F,6-7,Braedan Lue,F,6-6,75.0,78.67,,2,3,0
Miami FL,7,West,Tre Donaldson,G,6-3,Tru Washington,G,6-4,Shelton Henderson,F,6-6,Malik Reneau,F,6-9,Ernest Udeh Jr.,C,6-11,75.5,79.5,83.0,2,2,1
Missouri,10,West,Anthony Robinson II,G,6-2,Sebastian Mack,G,6-3,Mark Mitchell,F,6-9,Jayden Stone,F,6-9,Jevon Porter,C,7-0,74.5,81.0,84.0,2,2,1
Purdue,2,West,Braden Smith,G,6-0,Fletcher Loyer,G,6-4,C.J. Cox,G,6-3,Trey Kaufman-Renn,F,6-9,Oscar Cluff,C,6-11,74.33,81.0,83.0,3,1,1
Queens,15,West,Chris Ashby,G,6-2,Yoav Berman,G,6-6,Nasir Mann,G,6-5,Carson Schwieger,F,6-9,Avantae Parker,F,6-9,76.33,81.0,,3,2,0
Michigan,1,Midwest,Elliott Cadeau,G,6-1,Nimari Burnett,G,6-5,Roddy Gayle Jr.,G,6-5,Yaxel Lendeborg,F,6-9,Morez Johnson Jr.,F,6-9,75.67,81.0,,3,2,0
UMBC,16,Midwest,Jah'Likai King,G,6-2,DJ Armstrong Jr.,G,6-3,Ace Valentine,G,6-3,Devin Ceaser,G,6-1,Jose Roberto Tanchyn,F,6-10,74.25,82.0,,4,1,0
Howard,16,Midwest,Cam Gillus,G,5-11,Bryce Harris,G,6-4,Alex Cotton,G,6-3,Ose Okojie,G,6-5,Danas Kazakevicius,C,6-10,74.75,,82.0,4,0,1
Georgia,8,Midwest,Smurf Millender,G,5-11,Blue Cain,G,6-3,Jeremiah Wilkinson,G,6-5,Kanon Catchings,F,6-9,Somto Cyril,C,6-11,74.33,81.0,83.0,3,1,1
Saint Louis,9,Midwest,Trey Green,G,6-0,Amari McCottry,G,6-6,Dion Brown,G,6-3,Quentin Jones,F,6-5,Robbie Avila,C,6-10,75.0,77.0,82.0,3,1,1
Texas Tech,5,Midwest,Christian Anderson,G,6-3,Donovan Atwell,G,6-5,Tyeree Bryan,G,6-5,LeJuan Watts,F,6-6,Luke Bamgboye,F,6-11,76.33,80.5,,3,2,0
Akron,12,Midwest,Tavari Johnson,G,6-0,Shammah Scott,G,6-2,Bowen Hardman,G,6-4,Evan Mahaffey,F,6-6,Amani Lyles,F,6-9,74.0,79.5,,3,2,0
Alabama,4,Midwest,Labaron Philon Jr.,G,6-1,Aden Holloway,G,6-3,Amari Allen,F,6-7,London Jemison,F,6-8,Aiden Sherrell,C,6-11,74.0,79.5,83.0,2,2,1
Hofstra,13,Midwest,Preston Edmead,G,6-1,Cruz Davis,G,6-3,German Plotnikov,F,6-6,Victory Onuetu,F,6-10,Silas Sunday,F,7-0,74.0,80.0,,2,3,0
Tennessee,6,Midwest,Ja'Kobi Gillespie,G,6-1,Amaree Abram,G,6-4,Nate Ament,F,6-10,Jaylen Carey,F,6-8,Felix Okpara,C,6-11,74.5,81.0,83.0,2,2,1
Miami OH,11,Midwest,Luke Skaljac,G,6-3,Peter Suder,G,6-5,Eian Elmer,G,6-6,Brant Byers,F,6-8,Antwone Woolfolk,F,6-9,76.67,80.5,,3,2,0
SMU,11,Midwest,Boopie Miller,G,6-1,B.J. Edwards,G,6-5,Jaron Pierre Jr.,G,6-6,Corey Washington,F,6-6,Sam Walters,F,6-8,76.0,79.0,,3,2,0
Virginia,3,Midwest,Malik Thomas,G,6-5,Dallin Hall,G,6-4,Sam Lewis,G,6-6,Thijs De Ridder,F,6-4,Johann Grunloh,F,6-9,77.0,78.5,,3,2,0
Wright State,14,Midwest,TJ Burch,G,6-1,Solomon Callaghan,G,6-2,Dominic Pangonis,G,6-7,Michael Imariagbe,F,6-7,Kellen Pickett,F,6-9,75.33,80.0,,3,2,0
Kentucky,7,Midwest,Jaland Lowe,G,6-3,Otega Oweh,G,6-4,Denzel Aberdeen,G,6-5,Collin Chandler,G,6-5,Malachi Moreno,C,6-11,76.25,,83.0,4,0,1
Santa Clara,10,Midwest,Brenton Knapper,G,6-0,Christian Hammond,G,6-4,Elijah Mahi,F,6-7,Jake Ensminger,F,6-9,Bukky Oboye,C,7-1,74.0,80.0,85.0,2,2,1
Iowa State,2,Midwest,Tamin Lipsey,G,6-1,Jamarion Batemon,G,6-5,Milan Momcilovic,F,6-8,Joshua Jefferson,F,6-8,Blake Buchanan,C,6-11,75.0,80.0,83.0,2,2,1
Tennessee State,15,Midwest,Dante Harris,G,6-2,Travis Harper II,G,6-3,Aaron Nkrumah,G,6-6,Antoine Lorick III,F,6-8,Jalen Pitre,F,6-8,75.67,80.0,,3,2,0
Florida,1,South,Boogie Fland,G,6-3,Xaivian Lee,G,6-4,Thomas Haugh,F,6-9,Alex Condon,F,6-11,Reuben Chinyelu,C,6-10,75.5,82.0,82.0,2,2,1
Prairie View A&M,16,South,Lance Williams,G,6-1,Dontae Horne,G,6-4,Tai'Reon Joseph,G,6-3,Cory Wells,F,6-7,Joey Madimba,F,6-5,74.67,78.0,,3,2,0
Lehigh,16,South,Nasir Whitlock,G,6-3,Edouard Benoit,G,5-10,Jalen Vazquez,G,6-3,Joshua Ingram,F,6-8,Hank Alvey,F,6-11,73.33,81.5,,3,2,0
Clemson,8,South,Dillon Hunter,G,6-3,Jestin Porter,G,6-1,RJ Godfrey,F,6-7,Jake Wahlin,F,6-10,Nick Davidson,C,6-10,74.0,80.5,82.0,2,2,1
Iowa,9,South,Kael Combs,G,6-3,Bennett Stirtz,G,6-4,Cooper Koch,F,6-8,Cam Manyawu,F,6-7,Tavion Banks,F,6-7,75.5,79.33,,2,3,0
Vanderbilt,5,South,Tyler Tanner,G,6-0,Duke Miles,G,6-2,Tyler Nickel,F,6-7,AK Okereke,F,6-7,Devin McGlockton,F,6-7,73.0,79.0,,2,3,0
McNeese,12,South,Tyshawn Archie,G,6-1,DJ Richards Jr.,G,6-4,Javohn Garcia,G,6-3,Larry Johnson,G,6-4,Jerrell Colbert,C,6-10,74.5,,82.0,4,0,1
Nebraska,4,South,Jamarques Lawrence,G,6-3,Sam Hoiberg,G,6-0,Pryce Sandfort,F,6-7,Berke Buyuktuncel,F,6-10,Rienk Mast,C,6-10,73.5,80.5,82.0,2,2,1
Troy,13,South,Cooper Campbell,G,6-2,Cobi Campbell,G,6-3,Victor Valdes,F,6-7,Thomas Dowd,F,6-8,Jerrell Bellamy,C,6-9,74.5,79.5,81.0,2,2,1
North Carolina,6,South,Kyan Evans,G,6-2,Seth Trimble,G,6-3,Jonathan Powell,F,6-6,Jarin Stevenson,F,6-11,Henri Veesaar,C,7-0,74.5,80.5,84.0,2,2,1
VCU,11,South,Nyk Lewis,G,6-6,Brandon Jennings,G,6-4,Jadrian Tracey,F,6-5,Barry Evans,F,6-7,Lazar Djokovic,C,6-10,77.0,78.0,82.0,2,2,1
Illinois,3,South,Kylan Boswell,G,6-2,Keaton Wagler,G,6-6,Jake Davis,F,6-6,David Mirkovic,F,6-9,Tomislav Ivisic,C,7-1,76.0,79.5,85.0,2,2,1
Penn,14,South,AJ Levine,G,6-0,Cam Thrower,G,6-3,Michael Zanoni,G,6-4,TJ Power,F,6-9,Augustus Gerhart,F,6-9,74.33,81.0,,3,2,0
Saint Mary's,7,South,Joshua Dent,G,6-3,Mikey Lewis,G,6-3,Tony Duckett,G,6-5,Paulius Murauskas,F,6-8,Harry Wessels,C,7-1,75.67,80.0,85.0,3,1,1
Texas A&M,10,South,Jacari Lane,G,6-0,Marcus Hill,G,6-3,Rylan Griffen,G,6-5,Ruben Dominguez,G,6-6,Rashaun Agee,F,6-7,76.0,79.0,,4,1,0
Houston,2,South,Milos Uzan,G,6-3,Kingston Flemings,G,6-4,Emanuel Sharp,G,6-5,Joseph Tugler,F,6-7,Chris Cenac Jr.,C,6-10,76.0,79.0,82.0,3,1,1
Idaho,15,South,Kolton Mitchell,G,6-1,Biko Johnson,G,6-2,Isaiah Brickner,G,6-4,Jackson Rasmussen,F,6-7,Brody Rowbury,F,6-11,74.33,81.0,,3,2,0
